nohup: ignoring input
Train: torch.Size([14031, 5, 64, 32]), Valid: torch.Size([4677, 5, 64, 32]), Test: torch.Size([4678, 5, 64, 32])
Input shape: (C=5, H=144, W=72)
Fine Tuning Both
Training Decoder
Starting Latent Downstream Task
4
Epoch: 1, Train Loss: 0.4723, Valid Loss: 0.3266, LR: 0.001
Epoch: 2, Train Loss: 0.2120, Valid Loss: 0.1698, LR: 0.001
Epoch: 3, Train Loss: 0.1537, Valid Loss: 0.1353, LR: 0.001
Epoch: 4, Train Loss: 0.1303, Valid Loss: 0.1304, LR: 0.001
Epoch: 5, Train Loss: 0.1298, Valid Loss: 0.1192, LR: 0.001
Epoch: 6, Train Loss: 0.1202, Valid Loss: 0.1385, LR: 0.001
Epoch: 7, Train Loss: 0.1089, Valid Loss: 0.1330, LR: 0.001
Epoch: 8, Train Loss: 0.1131, Valid Loss: 0.1362, LR: 0.001
Epoch: 9, Train Loss: 0.1007, Valid Loss: 0.1421, LR: 0.001
Epoch: 10, Train Loss: 0.1114, Valid Loss: 0.1489, LR: 0.001
Epoch: 11, Train Loss: 0.1063, Valid Loss: 0.1301, LR: 0.001
Epoch: 12, Train Loss: 0.0883, Valid Loss: 0.1626, LR: 0.001
Epoch: 13, Train Loss: 0.1052, Valid Loss: 0.1326, LR: 0.001
Epoch: 14, Train Loss: 0.1070, Valid Loss: 0.1334, LR: 0.001
Epoch: 15, Train Loss: 0.1214, Valid Loss: 0.1661, LR: 0.001
Epoch: 16, Train Loss: 0.1058, Valid Loss: 0.1401, LR: 0.0001
Epoch: 17, Train Loss: 0.0898, Valid Loss: 0.1287, LR: 0.0001
Epoch: 18, Train Loss: 0.0771, Valid Loss: 0.1328, LR: 0.0001
Epoch: 19, Train Loss: 0.0773, Valid Loss: 0.1229, LR: 0.0001
Epoch: 20, Train Loss: 0.0689, Valid Loss: 0.1278, LR: 0.0001
Epoch: 21, Train Loss: 0.0800, Valid Loss: 0.1205, LR: 0.0001
Epoch: 22, Train Loss: 0.0662, Valid Loss: 0.1261, LR: 0.0001
Epoch: 23, Train Loss: 0.0681, Valid Loss: 0.1267, LR: 0.0001
Epoch: 24, Train Loss: 0.0770, Valid Loss: 0.1213, LR: 0.0001
Epoch: 25, Train Loss: 0.0654, Valid Loss: 0.1321, LR: 0.0001
Epoch: 26, Train Loss: 0.0636, Valid Loss: 0.1246, LR: 0.0001
Epoch: 27, Train Loss: 0.0635, Valid Loss: 0.1332, LR: 1e-05
Epoch: 28, Train Loss: 0.0589, Valid Loss: 0.1307, LR: 1e-05
Epoch: 29, Train Loss: 0.0615, Valid Loss: 0.1356, LR: 1e-05
Epoch: 30, Train Loss: 0.0552, Valid Loss: 0.1260, LR: 1e-05
Epoch: 31, Train Loss: 0.0578, Valid Loss: 0.1353, LR: 1e-05
Epoch: 32, Train Loss: 0.0620, Valid Loss: 0.1324, LR: 1e-05
Epoch: 33, Train Loss: 0.0549, Valid Loss: 0.1279, LR: 1e-05
Epoch: 34, Train Loss: 0.0555, Valid Loss: 0.1316, LR: 1e-05
Epoch: 35, Train Loss: 0.0555, Valid Loss: 0.1377, LR: 1e-05
Epoch: 36, Train Loss: 0.0560, Valid Loss: 0.1361, LR: 1e-05
Epoch: 37, Train Loss: 0.0564, Valid Loss: 0.1304, LR: 1e-05
Epoch: 38, Train Loss: 0.0496, Valid Loss: 0.1304, LR: 1.0000000000000002e-06
Epoch: 39, Train Loss: 0.0508, Valid Loss: 0.1338, LR: 1.0000000000000002e-06
Epoch: 40, Train Loss: 0.0525, Valid Loss: 0.1339, LR: 1.0000000000000002e-06
Epoch: 41, Train Loss: 0.0528, Valid Loss: 0.1337, LR: 1.0000000000000002e-06
Epoch: 42, Train Loss: 0.0543, Valid Loss: 0.1322, LR: 1.0000000000000002e-06
Epoch: 43, Train Loss: 0.0603, Valid Loss: 0.1276, LR: 1.0000000000000002e-06
Epoch: 44, Train Loss: 0.0544, Valid Loss: 0.1372, LR: 1.0000000000000002e-06
Epoch: 45, Train Loss: 0.0563, Valid Loss: 0.1361, LR: 1.0000000000000002e-06
Epoch: 46, Train Loss: 0.0543, Valid Loss: 0.1363, LR: 1.0000000000000002e-06
Epoch: 47, Train Loss: 0.0574, Valid Loss: 0.1378, LR: 1.0000000000000002e-06
Epoch: 48, Train Loss: 0.0536, Valid Loss: 0.1331, LR: 1.0000000000000002e-06
Epoch: 49, Train Loss: 0.0571, Valid Loss: 0.1262, LR: 1.0000000000000002e-07
Epoch: 50, Train Loss: 0.0554, Valid Loss: 0.1403, LR: 1.0000000000000002e-07
Epoch: 51, Train Loss: 0.0549, Valid Loss: 0.1314, LR: 1.0000000000000002e-07
Epoch: 52, Train Loss: 0.0601, Valid Loss: 0.1349, LR: 1.0000000000000002e-07
