nohup: ignoring input
Train: torch.Size([14031, 5, 64, 32]), Valid: torch.Size([4677, 5, 64, 32]), Test: torch.Size([4678, 5, 64, 32])
Input shape: (C=5, H=144, W=72)
Fine Tuning Both
Starting Downstream Task
Training Decoder
Starting Latent Downstream Task
4
Epoch: 1, Train Loss: 0.5390, Valid Loss: 0.4178, LR: 0.001
Epoch: 2, Train Loss: 0.2033, Valid Loss: 0.1812, LR: 0.001
Epoch: 3, Train Loss: 0.1365, Valid Loss: 0.1767, LR: 0.001
Epoch: 4, Train Loss: 0.1045, Valid Loss: 0.1537, LR: 0.001
Epoch: 5, Train Loss: 0.0924, Valid Loss: 0.1757, LR: 0.001
Epoch: 6, Train Loss: 0.1057, Valid Loss: 0.1574, LR: 0.001
Epoch: 7, Train Loss: 0.0981, Valid Loss: 0.1609, LR: 0.001
Epoch: 8, Train Loss: 0.0908, Valid Loss: 0.1493, LR: 0.001
Epoch: 9, Train Loss: 0.0850, Valid Loss: 0.1659, LR: 0.001
Epoch: 10, Train Loss: 0.0795, Valid Loss: 0.1544, LR: 0.001
Epoch: 11, Train Loss: 0.0904, Valid Loss: 0.1678, LR: 0.001
Epoch: 12, Train Loss: 0.0884, Valid Loss: 0.1802, LR: 0.001
Epoch: 13, Train Loss: 0.0971, Valid Loss: 0.1885, LR: 0.001
Epoch: 14, Train Loss: 0.0955, Valid Loss: 0.1627, LR: 0.001
Epoch: 15, Train Loss: 0.0767, Valid Loss: 0.1799, LR: 0.001
Epoch: 16, Train Loss: 0.0893, Valid Loss: 0.1601, LR: 0.001
Epoch: 17, Train Loss: 0.0890, Valid Loss: 0.1988, LR: 0.001
Epoch: 18, Train Loss: 0.0912, Valid Loss: 0.1591, LR: 0.001
Epoch: 19, Train Loss: 0.0775, Valid Loss: 0.1629, LR: 0.0001
Epoch: 20, Train Loss: 0.0764, Valid Loss: 0.1599, LR: 0.0001
Epoch: 21, Train Loss: 0.0658, Valid Loss: 0.1554, LR: 0.0001
Epoch: 22, Train Loss: 0.0598, Valid Loss: 0.1535, LR: 0.0001
Epoch: 23, Train Loss: 0.0591, Valid Loss: 0.1606, LR: 0.0001
Epoch: 24, Train Loss: 0.0601, Valid Loss: 0.1565, LR: 0.0001
Epoch: 25, Train Loss: 0.0532, Valid Loss: 0.1574, LR: 0.0001
