nohup: ignoring input
Train: torch.Size([14031, 5, 64, 32]), Valid: torch.Size([4677, 5, 64, 32]), Test: torch.Size([4678, 5, 64, 32])
Input shape: (C=5, H=144, W=72)
Fine Tuning Both
Starting Downstream Task
Training Decoder
Epoch: 0, Train Loss: 0.1379, Valid Loss: 0.1516, LR: 1.00e-04
Epoch: 1, Train Loss: 0.1375, Valid Loss: 0.1521, LR: 1.00e-04
Epoch: 2, Train Loss: 0.1374, Valid Loss: 0.1515, LR: 1.00e-04
Epoch: 3, Train Loss: 0.1373, Valid Loss: 0.1519, LR: 1.00e-04
Epoch: 4, Train Loss: 0.1371, Valid Loss: 0.1518, LR: 1.00e-04
Epoch: 5, Train Loss: 0.1371, Valid Loss: 0.1518, LR: 1.00e-04
Epoch: 6, Train Loss: 0.1370, Valid Loss: 0.1519, LR: 1.00e-04
Epoch: 7, Train Loss: 0.1370, Valid Loss: 0.1515, LR: 1.00e-04
Epoch: 8, Train Loss: 0.1370, Valid Loss: 0.1515, LR: 1.00e-04
Epoch: 9, Train Loss: 0.1369, Valid Loss: 0.1519, LR: 1.00e-04
Epoch: 10, Train Loss: 0.1368, Valid Loss: 0.1518, LR: 1.00e-04
Epoch: 11, Train Loss: 0.1368, Valid Loss: 0.1518, LR: 1.00e-04
Epoch: 12, Train Loss: 0.1367, Valid Loss: 0.1521, LR: 1.00e-04
Epoch: 13, Train Loss: 0.1367, Valid Loss: 0.1515, LR: 1.00e-04
Epoch: 14, Train Loss: 0.1363, Valid Loss: 0.1516, LR: 1.00e-05
Epoch: 15, Train Loss: 0.1362, Valid Loss: 0.1515, LR: 1.00e-05
Epoch: 16, Train Loss: 0.1361, Valid Loss: 0.1516, LR: 1.00e-05
Epoch: 17, Train Loss: 0.1361, Valid Loss: 0.1518, LR: 1.00e-05
Epoch: 18, Train Loss: 0.1360, Valid Loss: 0.1515, LR: 1.00e-05
Epoch: 19, Train Loss: 0.1360, Valid Loss: 0.1516, LR: 1.00e-05
Epoch: 20, Train Loss: 0.1359, Valid Loss: 0.1516, LR: 1.00e-05
Epoch: 21, Train Loss: 0.1359, Valid Loss: 0.1515, LR: 1.00e-05
Epoch: 22, Train Loss: 0.1359, Valid Loss: 0.1514, LR: 1.00e-05
Epoch: 23, Train Loss: 0.1359, Valid Loss: 0.1516, LR: 1.00e-05
Epoch: 24, Train Loss: 0.1359, Valid Loss: 0.1514, LR: 1.00e-05
Epoch: 25, Train Loss: 0.1358, Valid Loss: 0.1515, LR: 1.00e-05
Epoch: 26, Train Loss: 0.1359, Valid Loss: 0.1515, LR: 1.00e-05
Epoch: 27, Train Loss: 0.1358, Valid Loss: 0.1517, LR: 1.00e-05
Epoch: 28, Train Loss: 0.1359, Valid Loss: 0.1516, LR: 1.00e-05
Epoch: 29, Train Loss: 0.1358, Valid Loss: 0.1514, LR: 1.00e-05
Epoch: 30, Train Loss: 0.1358, Valid Loss: 0.1515, LR: 1.00e-05
Epoch: 31, Train Loss: 0.1358, Valid Loss: 0.1513, LR: 1.00e-05
Epoch: 32, Train Loss: 0.1358, Valid Loss: 0.1513, LR: 1.00e-05
Epoch: 33, Train Loss: 0.1357, Valid Loss: 0.1514, LR: 1.00e-05
Epoch: 34, Train Loss: 0.1358, Valid Loss: 0.1515, LR: 1.00e-05
Epoch: 35, Train Loss: 0.1358, Valid Loss: 0.1515, LR: 1.00e-05
Epoch: 36, Train Loss: 0.1357, Valid Loss: 0.1513, LR: 1.00e-05
Epoch: 37, Train Loss: 0.1357, Valid Loss: 0.1514, LR: 1.00e-05
Epoch: 38, Train Loss: 0.1357, Valid Loss: 0.1516, LR: 1.00e-05
Epoch: 39, Train Loss: 0.1357, Valid Loss: 0.1513, LR: 1.00e-05
Epoch: 40, Train Loss: 0.1357, Valid Loss: 0.1513, LR: 1.00e-05
Epoch: 41, Train Loss: 0.1357, Valid Loss: 0.1515, LR: 1.00e-05
Epoch: 42, Train Loss: 0.1357, Valid Loss: 0.1515, LR: 1.00e-05
Epoch: 43, Train Loss: 0.1357, Valid Loss: 0.1515, LR: 1.00e-06
Epoch: 44, Train Loss: 0.1356, Valid Loss: 0.1516, LR: 1.00e-06
Epoch: 45, Train Loss: 0.1357, Valid Loss: 0.1513, LR: 1.00e-06
Epoch: 46, Train Loss: 0.1356, Valid Loss: 0.1514, LR: 1.00e-06
Epoch: 47, Train Loss: 0.1357, Valid Loss: 0.1516, LR: 1.00e-06
Epoch: 48, Train Loss: 0.1356, Valid Loss: 0.1516, LR: 1.00e-06
Epoch: 49, Train Loss: 0.1356, Valid Loss: 0.1515, LR: 1.00e-06
Epoch: 50, Train Loss: 0.1357, Valid Loss: 0.1513, LR: 1.00e-06
Epoch: 51, Train Loss: 0.1356, Valid Loss: 0.1514, LR: 1.00e-06
Epoch: 52, Train Loss: 0.1356, Valid Loss: 0.1514, LR: 1.00e-06
Epoch: 53, Train Loss: 0.1356, Valid Loss: 0.1515, LR: 1.00e-06
Epoch: 54, Train Loss: 0.1356, Valid Loss: 0.1514, LR: 1.00e-06
Epoch: 55, Train Loss: 0.1356, Valid Loss: 0.1512, LR: 1.00e-06
Epoch: 56, Train Loss: 0.1356, Valid Loss: 0.1515, LR: 1.00e-06
Epoch: 57, Train Loss: 0.1356, Valid Loss: 0.1516, LR: 1.00e-06
Epoch: 58, Train Loss: 0.1356, Valid Loss: 0.1515, LR: 1.00e-06
Epoch: 59, Train Loss: 0.1356, Valid Loss: 0.1515, LR: 1.00e-06
Epoch: 60, Train Loss: 0.1357, Valid Loss: 0.1514, LR: 1.00e-06
Epoch: 61, Train Loss: 0.1356, Valid Loss: 0.1515, LR: 1.00e-06
Epoch: 62, Train Loss: 0.1357, Valid Loss: 0.1513, LR: 1.00e-06
Epoch: 63, Train Loss: 0.1356, Valid Loss: 0.1512, LR: 1.00e-06
Epoch: 64, Train Loss: 0.1356, Valid Loss: 0.1515, LR: 1.00e-06
Epoch: 65, Train Loss: 0.1356, Valid Loss: 0.1517, LR: 1.00e-06
Epoch: 66, Train Loss: 0.1357, Valid Loss: 0.1515, LR: 1.00e-06
Epoch: 67, Train Loss: 0.1356, Valid Loss: 0.1514, LR: 1.00e-07
Epoch: 68, Train Loss: 0.1356, Valid Loss: 0.1516, LR: 1.00e-07
Epoch: 69, Train Loss: 0.1356, Valid Loss: 0.1514, LR: 1.00e-07
Epoch: 70, Train Loss: 0.1357, Valid Loss: 0.1516, LR: 1.00e-07
Epoch: 71, Train Loss: 0.1356, Valid Loss: 0.1514, LR: 1.00e-07
Epoch: 72, Train Loss: 0.1356, Valid Loss: 0.1515, LR: 1.00e-07
Epoch: 73, Train Loss: 0.1356, Valid Loss: 0.1515, LR: 1.00e-07
Epoch: 74, Train Loss: 0.1356, Valid Loss: 0.1514, LR: 1.00e-07
Epoch: 75, Train Loss: 0.1356, Valid Loss: 0.1515, LR: 1.00e-07
Epoch: 76, Train Loss: 0.1356, Valid Loss: 0.1517, LR: 1.00e-07
Epoch: 77, Train Loss: 0.1356, Valid Loss: 0.1514, LR: 1.00e-07
Epoch: 78, Train Loss: 0.1357, Valid Loss: 0.1514, LR: 1.00e-08
Epoch: 79, Train Loss: 0.1357, Valid Loss: 0.1515, LR: 1.00e-08
Epoch: 80, Train Loss: 0.1356, Valid Loss: 0.1518, LR: 1.00e-08
Epoch: 81, Train Loss: 0.1356, Valid Loss: 0.1515, LR: 1.00e-08
Epoch: 82, Train Loss: 0.1356, Valid Loss: 0.1517, LR: 1.00e-08
Epoch: 83, Train Loss: 0.1356, Valid Loss: 0.1514, LR: 1.00e-08
Epoch: 84, Train Loss: 0.1356, Valid Loss: 0.1514, LR: 1.00e-08
Epoch: 85, Train Loss: 0.1356, Valid Loss: 0.1514, LR: 1.00e-08
Epoch: 86, Train Loss: 0.1357, Valid Loss: 0.1516, LR: 1.00e-08
Epoch: 87, Train Loss: 0.1356, Valid Loss: 0.1514, LR: 1.00e-08
Epoch: 88, Train Loss: 0.1356, Valid Loss: 0.1517, LR: 1.00e-08
