nohup: ignoring input
GPU 0: NVIDIA GeForce RTX 4080
Train: torch.Size([14031, 5, 64, 32]), Valid: torch.Size([4677, 5, 64, 32]), Test: torch.Size([4678, 5, 64, 32])
Input shape: (C=5, H=144, W=72)
Fine Tuning Both
Starting Downstream Task
Starting Latent Downstream Task
4
Epoch: 1, Train Loss: 0.5600, Valid Loss: 0.3763, LR: 0.001
Epoch: 2, Train Loss: 0.2079, Valid Loss: 0.1712, LR: 0.001
Epoch: 3, Train Loss: 0.1253, Valid Loss: 0.1442, LR: 0.001
Epoch: 4, Train Loss: 0.1107, Valid Loss: 0.1440, LR: 0.001
Epoch: 5, Train Loss: 0.1021, Valid Loss: 0.1468, LR: 0.001
Epoch: 6, Train Loss: 0.1012, Valid Loss: 0.1363, LR: 0.001
Epoch: 7, Train Loss: 0.0955, Valid Loss: 0.1408, LR: 0.001
Epoch: 8, Train Loss: 0.0917, Valid Loss: 0.1431, LR: 0.001
Epoch: 9, Train Loss: 0.0850, Valid Loss: 0.1389, LR: 0.001
Epoch: 10, Train Loss: 0.0753, Valid Loss: 0.1634, LR: 0.001
Epoch: 11, Train Loss: 0.0832, Valid Loss: 0.1593, LR: 0.001
Epoch: 12, Train Loss: 0.0839, Valid Loss: 0.1263, LR: 0.001
Epoch: 13, Train Loss: 0.0850, Valid Loss: 0.1602, LR: 0.001
Epoch: 14, Train Loss: 0.0781, Valid Loss: 0.1485, LR: 0.001
Epoch: 15, Train Loss: 0.0947, Valid Loss: 0.1178, LR: 0.001
Epoch: 16, Train Loss: 0.0858, Valid Loss: 0.1434, LR: 0.001
Epoch: 17, Train Loss: 0.1031, Valid Loss: 0.1542, LR: 0.001
Epoch: 18, Train Loss: 0.0881, Valid Loss: 0.1578, LR: 0.001
Epoch: 19, Train Loss: 0.0781, Valid Loss: 0.1340, LR: 0.001
Epoch: 20, Train Loss: 0.0814, Valid Loss: 0.1281, LR: 0.001
Epoch: 21, Train Loss: 0.0829, Valid Loss: 0.1393, LR: 0.001
Epoch: 22, Train Loss: 0.0875, Valid Loss: 0.1521, LR: 0.001
